rank,time_bucket,time_seconds,coordinates,lat,lon,newly_covered_buildings,newly_covered_people_est
211,30s,30,"31.715767,34.989376",31.715766898087463,34.989376400026735,2,14
212,30s,30,"31.750065,34.984299",31.750064584098183,34.984299385854605,2,14
213,30s,30,"31.743578,34.980846",31.743577878046636,34.980845989487335,2,14
214,30s,30,"31.740609,34.983595",31.740608925955485,34.98359499126781,2,14
215,30s,30,"31.733527,34.952616",31.733527012243616,34.952615928482366,2,14
216,30s,30,"31.715518,34.998455",31.715518306200803,34.99845458773116,2,14
217,30s,30,"31.712461,35.000784",31.71246054175038,35.00078436374567,2,14
218,30s,30,"31.749434,34.994156",31.74943439569229,34.994155656183786,2,14
219,30s,30,"31.743433,34.997206",31.743432667928843,34.99720627992131,2,14
220,30s,30,"31.748225,34.992302",31.74822460933763,34.99230179976502,2,14
221,30s,30,"31.739659,34.996975",31.739658535019117,34.99697464331155,2,14
222,30s,30,"31.716312,34.987775",31.716312217013567,34.987775392488615,2,14
223,30s,30,"31.715005,34.996945",31.715005197816463,34.99694548331648,2,14
224,30s,30,"31.716250,34.996976",31.71625024410745,34.99697573834207,2,14
225,30s,30,"31.707856,34.998647",31.70785557132628,34.99864713656286,2,14
226,30s,30,"31.749124,34.980074",31.74912420356189,34.980074077825776,2,14
227,30s,30,"31.709024,35.001465",31.709023782439317,35.001464718170794,1,7
228,30s,30,"31.739395,34.989765",31.739395469082247,34.98976535430049,1,7
229,30s,30,"31.744341,34.993254",31.744341251375012,34.993254245452924,1,7
230,30s,30,"31.742928,34.984060",31.742928461382856,34.98406046772675,1,7
231,30s,30,"31.716549,34.999529",31.716549188324624,34.99952941913719,1,7
232,30s,30,"31.713856,34.981171",31.71385562089221,34.98117104699005,1,7
233,30s,30,"31.746175,34.985828",31.746174524346145,34.98582800624407,1,7
234,30s,30,"31.710932,34.997034",31.710931586086215,34.99703355218713,1,7
235,30s,30,"31.742665,34.987626",31.74266470297132,34.987626448689014,1,7
236,30s,30,"31.710701,34.997114",31.710700688300097,34.997114064410646,1,7
237,30s,30,"31.750102,34.980968",31.750102085534465,34.980967700370776,1,7
238,30s,30,"31.737878,34.992935",31.73787789785235,34.992934737960184,1,7
239,30s,30,"31.753840,34.996499",31.753839598758113,34.996499482239365,1,7
240,30s,30,"31.748397,34.985111",31.74839653309089,34.985111427559396,1,7
241,30s,30,"31.711207,34.996956",31.71120656579044,34.996956040736784,1,7
242,30s,30,"31.749138,34.983412",31.749138059397602,34.98341206682763,1,7
243,30s,30,"31.711807,34.992241",31.711807268100266,34.992240971298266,1,7
244,30s,30,"31.737298,34.996946",31.737297994010138,34.996946092841846,1,7
245,30s,30,"31.712220,34.995859",31.712220180186023,34.995858735360784,1,7
246,30s,30,"31.714430,34.993289",31.71443008158704,34.99328882874549,1,7
247,30s,30,"31.743742,34.980097",31.743741970041285,34.98009747450501,1,7
248,30s,30,"31.751420,34.987356",31.751419734996905,34.98735552669841,1,7
249,30s,30,"31.739196,34.981869",31.739195894711415,34.981869398964584,1,7
250,30s,30,"31.738193,34.992979",31.738193477697944,34.99297859435828,1,7
251,30s,30,"31.742778,34.986858",31.742778471166005,34.98685793217924,1,7
252,30s,30,"31.738751,34.992290",31.738750583480215,34.99228955954587,1,7
253,30s,30,"31.714183,34.990210",31.71418291670051,34.99020965394813,1,7
254,30s,30,"31.738676,34.982618",31.73867571742963,34.98261836144509,1,7
255,30s,30,"31.755535,34.993625",31.755535364819966,34.99362528055753,1,7
256,30s,30,"31.709548,34.998852",31.709547637225654,34.99885202861828,1,7
257,30s,30,"31.739330,34.987348",31.739330156732507,34.987348498847375,1,7
258,30s,30,"31.710766,34.997488",31.710766218414054,34.997488150366166,1,7
259,30s,30,"31.737364,34.994600",31.737363962723755,34.99459974454295,1,7
260,30s,30,"31.749066,34.983795",31.74906550669677,34.98379488850612,1,7
261,30s,30,"31.714504,34.993536",31.714503942344358,34.993535553703644,1,7
262,30s,30,"31.744533,34.992566",31.74453327541419,34.99256637655706,1,7
263,30s,30,"31.749847,34.982862",31.749846960649435,34.982862204344144,1,7
264,30s,30,"31.736665,34.995411",31.736664594002963,34.99541074454176,1,7
265,30s,30,"31.714284,34.985086",31.714283630346824,34.98508597195845,1,7
266,30s,30,"31.720691,34.997008",31.72069136871572,34.997008326719794,1,7
267,30s,30,"31.738792,34.955291",31.738791528392483,34.95529134311435,1,7
268,30s,30,"31.756336,35.007595",31.756335816459583,35.00759451758836,1,7
269,30s,30,"31.759229,34.997560",31.759229169759486,34.997559624444285,1,7
270,30s,30,"31.758834,34.996612",31.758833840758122,34.996612110702905,1,7
271,30s,30,"31.752690,34.990666",31.75269044604804,34.99066630015985,1,7
272,30s,30,"31.752323,34.998119",31.752323019835373,34.99811908735187,1,7
273,30s,30,"31.733035,34.954304",31.733034644335945,34.95430413027937,1,7
